id,season,speed_difference,pass_difference,diffrenceWins,diffrenceGoals,overall_rating_difference,potential_difference,chance_creations_difference,defence_pressure_difference,defence_aggression_difference,goal_difference,diffrenceDaysBeforeLastGame,home_status
25,2008/2009,-10.0,7.0,1.0,2.0,0.0,0.0,-20.0,4.0,-6.0,0,0.0,D
26,2008/2009,-6.0,12.0,-1.0,-3.0,0.0,0.0,-24.0,12.0,-12.0,1,0.0,W
27,2008/2009,-7.0,-23.0,-5.0,-8.0,0.0,0.0,-11.0,0.0,-8.0,-2,-2.0,L
28,2008/2009,-10.0,-6.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0,-1.0,D
29,2008/2009,-7.0,-22.0,5.0,18.0,0.0,0.0,16.0,-29.0,-13.0,0,0.0,D
30,2008/2009,7.0,12.0,3.0,3.0,0.0,0.0,-17.0,-1.0,12.0,0,2.0,D
31,2008/2009,8.0,-10.0,-3.0,-2.0,0.0,0.0,2.0,0.0,-2.0,0,1.0,D
32,2008/2009,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,W
33,2008/2009,-3.0,-15.0,0.0,-5.0,0.0,0.0,4.0,-4.0,6.0,0,0.0,D
34,2008/2009,-10.0,-3.0,1.0,7.0,0.0,0.0,2.0,6.0,-3.0,1,1.0,W
35,2008/2009,0.0,0.0,-3.0,-13.0,0.0,0.0,0.0,0.0,0.0,3,-1.0,W
36,2008/2009,2.0,13.0,1.0,-6.0,0.0,0.0,-2.0,-1.0,-9.0,1,0.0,W
37,2008/2009,0.0,1.0,0.0,8.0,0.0,0.0,15.0,5.0,5.0,2,-2.0,W
38,2008/2009,4.0,12.0,1.0,2.0,0.0,0.0,10.0,0.0,9.0,2,-1.0,W
39,2008/2009,13.0,10.0,-5.0,-16.0,0.0,0.0,-1.0,-5.0,-5.0,-1,1.0,L
40,2008/2009,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,W
41,2008/2009,1.0,3.0,3.0,7.0,0.0,0.0,-8.0,17.0,-4.0,1,0.0,W
42,2008/2009,-8.0,-1.0,-1.0,4.0,0.0,0.0,-22.0,13.0,-3.0,-1,1.0,L
43,2008/2009,0.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,D
44,2008/2009,-12.0,-4.0,-3.0,-10.0,0.0,0.0,-2.0,2.0,-13.0,1,0.0,W
45,2008/2009,-15.0,-13.0,-3.0,-10.0,0.0,0.0,-13.0,0.0,-6.0,-2,1.0,L
46,2008/2009,-5.0,6.0,7.0,18.0,0.0,0.0,-2.0,6.0,4.0,3,0.0,W
47,2008/2009,5.0,-5.0,1.0,8.0,0.0,0.0,14.0,-23.0,10.0,1,-1.0,W
48,2008/2009,-6.0,-2.0,-1.0,1.0,0.0,0.0,-16.0,5.0,10.0,2,7.0,W
49,2008/2009,-15.0,-23.0,4.0,21.0,0.0,0.0,-6.0,-16.0,-16.0,4,-1.0,W
50,2008/2009,0.0,0.0,-5.0,-20.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,L
51,2008/2009,-2.0,-22.0,-6.0,-21.0,0.0,0.0,-10.0,-3.0,-3.0,0,0.0,D
52,2008/2009,-12.0,-2.0,1.0,-4.0,0.0,0.0,-12.0,0.0,-7.0,2,0.0,W
53,2008/2009,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,-7.0,D
54,2008/2009,-3.0,-5.0,5.0,9.0,0.0,0.0,-14.0,2.0,0.0,1,0.0,W
55,2008/2009,0.0,0.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,4,1.0,W
56,2008/2009,0.0,11.0,3.0,9.0,0.0,0.0,28.0,1.0,-4.0,-1,-1.0,L
57,2008/2009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1.0,W
58,2008/2009,8.0,13.0,3.0,7.0,0.0,0.0,-2.0,-3.0,-3.0,-1,1.0,L
59,2008/2009,3.0,6.0,0.0,-15.0,0.0,0.0,8.0,10.0,-7.0,2,0.0,W
60,2008/2009,20.0,7.0,-4.0,-9.0,0.0,0.0,15.0,-6.0,2.0,2,1.0,W
61,2008/2009,13.0,10.0,-7.0,-21.0,0.0,0.0,8.0,17.0,25.0,1,0.0,W
62,2008/2009,-16.0,9.0,-5.0,-16.0,0.0,0.0,-26.0,10.0,-12.0,2,0.0,W
63,2008/2009,-3.0,-11.0,-6.0,-15.0,0.0,0.0,-1.0,0.0,1.0,3,-1.0,W
64,2008/2009,-12.0,-17.0,1.0,4.0,0.0,0.0,-13.0,6.0,-4.0,-3,-1.0,L
65,2008/2009,-2.0,-15.0,3.0,10.0,0.0,0.0,8.0,-3.0,9.0,1,-1.0,W
66,2008/2009,4.0,1.0,-1.0,-1.0,0.0,0.0,-18.0,-1.0,13.0,1,0.0,W
67,2008/2009,8.0,-10.0,2.0,17.0,0.0,0.0,4.0,3.0,9.0,0,2.0,D
68,2008/2009,0.0,0.0,-3.0,-18.0,0.0,0.0,0.0,0.0,0.0,0,1.0,D
69,2008/2009,5.0,1.0,1.0,-4.0,0.0,0.0,1.0,-3.0,5.0,1,0.0,W
70,2008/2009,13.0,9.0,-8.0,-37.0,0.0,0.0,-7.0,12.0,20.0,-3,0.0,L
71,2008/2009,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,1,0.0,W
72,2008/2009,-1.0,7.0,1.0,4.0,0.0,0.0,-10.0,-11.0,-2.0,-1,-1.0,L
73,2008/2009,-6.0,13.0,2.0,18.0,0.0,0.0,-9.0,17.0,-7.0,2,-1.0,W
74,2008/2009,4.0,25.0,3.0,2.0,0.0,0.0,26.0,-4.0,0.0,1,-1.0,W
75,2008/2009,1.0,4.0,-4.0,-7.0,0.0,0.0,14.0,2.0,-13.0,0,3.0,D
76,2008/2009,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2,0.0,W
77,2008/2009,-12.0,-17.0,6.0,19.0,0.0,0.0,2.0,-6.0,-23.0,1,1.0,W
78,2008/2009,10.0,12.0,2.0,17.0,0.0,0.0,12.0,3.0,1.0,0,-1.0,D
79,2008/2009,8.0,5.0,-2.0,-8.0,0.0,0.0,3.0,-6.0,-5.0,4,1.0,W
80,2008/2009,-10.0,-3.0,-3.0,-8.0,0.0,0.0,-2.0,-2.0,0.0,0,-3.0,D
81,2008/2009,0.0,0.0,-2.0,7.0,0.0,0.0,0.0,0.0,0.0,2,1.0,W
82,2008/2009,-11.0,1.0,-6.0,-9.0,0.0,0.0,-7.0,9.0,-11.0,3,-1.0,W
83,2008/2009,8.0,1.0,-1.0,6.0,0.0,0.0,30.0,1.0,-6.0,1,0.0,W
84,2008/2009,-1.0,8.0,3.0,25.0,0.0,0.0,5.0,-6.0,3.0,-1,1.0,L
85,2008/2009,5.0,18.0,-3.0,-14.0,0.0,0.0,12.0,-3.0,-9.0,-1,1.0,L
86,2008/2009,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,1,-1.0,W
87,2008/2009,-10.0,5.0,5.0,15.0,0.0,0.0,-3.0,9.0,-1.0,3,0.0,W
88,2008/2009,-23.0,-13.0,3.0,14.0,0.0,0.0,-10.0,-19.0,-25.0,1,-1.0,W
89,2008/2009,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,D
90,2008/2009,8.0,3.0,-2.0,-6.0,0.0,0.0,16.0,-9.0,3.0,-1,1.0,L
91,2008/2009,12.0,6.0,-3.0,-8.0,0.0,0.0,-15.0,-7.0,8.0,2,0.0,W
92,2008/2009,-2.0,-14.0,-6.0,-14.0,0.0,0.0,-13.0,-4.0,4.0,-1,1.0,L
93,2008/2009,-2.0,-12.0,-2.0,-11.0,0.0,0.0,-28.0,3.0,-9.0,-1,-1.0,L
94,2008/2009,3.0,-17.0,6.0,7.0,0.0,0.0,10.0,-10.0,12.0,2,-1.0,W
95,2008/2009,5.0,7.0,-4.0,-16.0,0.0,0.0,-8.0,26.0,22.0,2,1.0,W
96,2008/2009,0.0,0.0,-3.0,-25.0,0.0,0.0,0.0,0.0,0.0,1,0.0,W
97,2008/2009,2.0,-10.0,-4.0,-18.0,0.0,0.0,0.0,-3.0,6.0,0,0.0,D
98,2008/2009,11.0,-4.0,4.0,7.0,0.0,0.0,12.0,13.0,2.0,-1,1.0,L
99,2008/2009,0.0,0.0,-1.0,-11.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,L
100,2008/2009,-12.0,-6.0,1.0,1.0,0.0,0.0,15.0,7.0,-8.0,2,-1.0,W
101,2008/2009,2.0,14.0,0.0,-2.0,0.0,0.0,13.0,4.0,-4.0,0,1.0,D
102,2008/2009,2.0,12.0,0.0,1.0,0.0,0.0,28.0,-3.0,9.0,3,0.0,W
103,2008/2009,-3.0,17.0,0.0,-5.0,0.0,0.0,-10.0,10.0,-12.0,2,0.0,W
104,2008/2009,-5.0,-7.0,0.0,-1.0,0.0,0.0,8.0,-26.0,-22.0,1,0.0,W
105,2008/2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0.0,W
106,2008/2009,-2.0,10.0,1.0,1.0,0.0,0.0,0.0,3.0,-6.0,2,7.0,W
107,2008/2009,-11.0,4.0,0.0,3.0,0.0,0.0,-12.0,-13.0,-2.0,1,0.0,W
108,2008/2009,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,-1.0,D
109,2008/2009,-10.0,-4.0,-5.0,-29.0,0.0,0.0,-17.0,-7.0,-5.0,-2,-8.0,L
110,2008/2009,4.0,14.0,-3.0,5.0,0.0,0.0,6.0,9.0,-5.0,-1,0.0,L
111,2008/2009,2.0,12.0,-7.0,-9.0,0.0,0.0,4.0,-13.0,-2.0,0,0.0,D
112,2008/2009,10.0,16.0,-1.0,-17.0,0.0,0.0,14.0,-10.0,-6.0,-3,-7.0,L
113,2008/2009,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,L
114,2008/2009,2.0,11.0,4.0,15.0,0.0,0.0,-18.0,2.0,7.0,0,-1.0,D
115,2008/2009,-11.0,2.0,9.0,34.0,0.0,0.0,20.0,-20.0,-16.0,3,-1.0,W
116,2008/2009,0.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,2,-1.0,W
117,2008/2009,-5.0,-11.0,-4.0,-3.0,0.0,0.0,17.0,-3.0,1.0,1,1.0,W
118,2008/2009,0.0,0.0,-7.0,-21.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,L
119,2008/2009,-12.0,-15.0,-6.0,-24.0,0.0,0.0,-30.0,1.0,-9.0,-2,0.0,L
120,2008/2009,-3.0,-4.0,10.0,35.0,0.0,0.0,1.0,7.0,5.0,1,0.0,W
121,2008/2009,4.0,-13.0,3.0,1.0,0.0,0.0,24.0,-8.0,-1.0,-1,-1.0,L
122,2008/2009,-7.0,-10.0,4.0,11.0,0.0,0.0,-6.0,20.0,-1.0,0,1.0,D
123,2008/2009,-10.0,-2.0,2.0,-6.0,0.0,0.0,-30.0,3.0,-7.0,1,1.0,W
124,2008/2009,0.0,0.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,L
125,2008/2009,0.0,-13.0,0.0,9.0,0.0,0.0,-16.0,4.0,9.0,2,-1.0,W
126,2008/2009,18.0,21.0,-3.0,-22.0,0.0,0.0,-9.0,20.0,24.0,0,0.0,D
127,2008/2009,8.0,2.0,-8.0,-38.0,0.0,0.0,1.0,-14.0,-2.0,-1,-1.0,L
128,2008/2009,-16.0,7.0,1.0,8.0,0.0,0.0,-9.0,15.0,-7.0,-2,0.0,L
129,2008/2009,-6.0,-4.0,-4.0,-1.0,0.0,0.0,7.0,-14.0,-1.0,0,1.0,D
130,2008/2009,2.0,3.0,-4.0,-23.0,0.0,0.0,16.0,-7.0,-3.0,0,0.0,D
131,2008/2009,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1,0.0,W
132,2008/2009,-3.0,-8.0,4.0,28.0,0.0,0.0,22.0,-20.0,-18.0,1,-1.0,W
133,2008/2009,13.0,8.0,-4.0,-1.0,0.0,0.0,16.0,0.0,0.0,0,-1.0,D
134,2008/2009,0.0,0.0,9.0,41.0,0.0,0.0,0.0,0.0,0.0,4,1.0,W
135,2008/2009,-2.0,0.0,-2.0,0.0,0.0,0.0,18.0,-3.0,0.0,0,1.0,D
136,2008/2009,10.0,5.0,-2.0,-7.0,0.0,0.0,-15.0,-3.0,-5.0,0,1.0,D
137,2008/2009,-2.0,-11.0,1.0,6.0,0.0,0.0,-13.0,8.0,-4.0,2,-4.0,W
138,2008/2009,10.0,5.0,0.0,-14.0,0.0,0.0,-6.0,19.0,25.0,1,0.0,W
139,2008/2009,0.0,0.0,-5.0,-30.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,L
140,2008/2009,-18.0,-6.0,1.0,3.0,0.0,0.0,-18.0,7.0,-3.0,0,1.0,D
141,2008/2009,-9.0,-9.0,2.0,-6.0,0.0,0.0,-20.0,14.0,-5.0,0,0.0,D
142,2008/2009,0.0,0.0,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,L
143,2008/2009,8.0,-12.0,4.0,3.0,0.0,0.0,6.0,-9.0,12.0,0,-1.0,D
144,2008/2009,3.0,-2.0,3.0,14.0,0.0,0.0,-15.0,4.0,8.0,-2,-4.0,L
145,2008/2009,-2.0,-1.0,-9.0,-30.0,-274.0,-339.0,3.0,-8.0,-5.0,0,2.0,D
146,2008/2009,-6.0,2.0,-6.0,-12.0,-4.0,-12.0,-6.0,6.0,-6.0,1,-1.0,W
147,2008/2009,5.0,-2.0,3.0,-1.0,-192.0,-213.0,2.0,-7.0,3.0,3,0.0,W
148,2008/2009,1.0,19.0,5.0,21.0,-82.0,-101.0,18.0,-14.0,7.0,4,-1.0,W
149,2008/2009,12.0,15.0,-1.0,-5.0,-2.0,-4.0,28.0,-4.0,-2.0,-1,0.0,L
150,2008/2009,-23.0,-15.0,8.0,31.0,33.0,60.0,7.0,-14.0,-20.0,1,-1.0,W
151,2008/2009,5.0,-8.0,0.0,10.0,20.0,25.0,19.0,-1.0,1.0,3,0.0,W
152,2008/2009,0.0,0.0,-1.0,15.0,109.0,115.0,0.0,0.0,0.0,4,0.0,W
153,2008/2009,2.0,1.0,1.0,9.0,-56.0,-13.0,0.0,-4.0,13.0,0,1.0,D
154,2008/2009,11.0,-2.0,-3.0,-13.0,39.0,14.0,-5.0,8.0,-3.0,-2,-1.0,L
155,2008/2009,1.0,-7.0,-13.0,-39.0,-89.0,-81.0,-14.0,1.0,-9.0,-1,1.0,L
156,2008/2009,-2.0,0.0,6.0,21.0,-44.0,-32.0,15.0,9.0,-8.0,2,0.0,W
157,2008/2009,-20.0,-5.0,-1.0,-17.0,-38.0,-36.0,-32.0,1.0,-7.0,-1,1.0,L
158,2008/2009,0.0,0.0,7.0,16.0,132.0,142.0,0.0,0.0,0.0,1,1.0,W
159,2008/2009,0.0,10.0,3.0,8.0,-31.0,-24.0,-18.0,6.0,-6.0,-1,-1.0,L
160,2008/2009,15.0,10.0,-4.0,-25.0,320.0,348.0,-10.0,20.0,25.0,2,0.0,W
161,2008/2009,0.0,0.0,5.0,48.0,36.0,43.0,0.0,0.0,0.0,2,-1.0,W
162,2008/2009,13.0,14.0,-1.0,-13.0,-73.0,-79.0,-1.0,-6.0,2.0,0,0.0,D
163,2008/2009,0.0,-11.0,-10.0,-39.0,121.0,79.0,3.0,-11.0,1.0,1,-1.0,W
164,2008/2009,-4.0,24.0,4.0,22.0,-133.0,-135.0,4.0,9.0,-3.0,2,1.0,W
165,2008/2009,-8.0,-16.0,5.0,19.0,93.0,85.0,3.0,-1.0,1.0,2,-1.0,W
166,2008/2009,2.0,-1.0,2.0,15.0,18.0,2.0,14.0,6.0,4.0,0,0.0,D
167,2008/2009,0.0,0.0,-5.0,-8.0,-69.0,-88.0,0.0,0.0,0.0,1,1.0,W
168,2008/2009,-8.0,8.0,3.0,-3.0,48.0,67.0,13.0,2.0,-4.0,-3,-1.0,L
169,2008/2009,-11.0,-9.0,6.0,30.0,-59.0,-33.0,-8.0,-21.0,-12.0,0,0.0,D
170,2008/2009,8.0,3.0,1.0,12.0,-30.0,-35.0,20.0,-1.0,0.0,1,0.0,W
171,2008/2009,0.0,0.0,-5.0,-38.0,-107.0,-106.0,0.0,0.0,0.0,-1,1.0,L
172,2008/2009,0.0,2.0,-7.0,-22.0,-23.0,-53.0,-17.0,-5.0,-5.0,-1,1.0,L
173,2008/2009,6.0,-9.0,-11.0,-37.0,-59.0,-70.0,-12.0,-6.0,-6.0,1,1.0,W
174,2008/2009,-4.0,-14.0,1.0,9.0,61.0,39.0,2.0,5.0,-4.0,1,-1.0,W
175,2008/2009,-7.0,3.0,-6.0,-23.0,-56.0,-24.0,-16.0,1.0,-7.0,-2,0.0,L
176,2008/2009,0.0,0.0,5.0,14.0,-16.0,-3.0,0.0,0.0,0.0,2,0.0,W
177,2008/2009,13.0,20.0,-4.0,-17.0,-28.0,-22.0,-10.0,23.0,19.0,1,-1.0,W
178,2008/2009,3.0,-7.0,1.0,-7.0,182.0,228.0,-8.0,14.0,2.0,-1,0.0,L
179,2008/2009,0.0,0.0,8.0,41.0,126.0,146.0,0.0,0.0,0.0,3,-1.0,W
180,2008/2009,5.0,12.0,9.0,26.0,3.0,28.0,-2.0,8.0,4.0,2,1.0,W
181,2008/2009,10.0,1.0,-9.0,-26.0,21.0,-23.0,15.0,-8.0,2.0,0,0.0,D
182,2008/2009,-5.0,-5.0,7.0,20.0,-214.0,-259.0,4.0,-1.0,0.0,1,0.0,W
183,2008/2009,-18.0,-8.0,7.0,17.0,122.0,148.0,-1.0,12.0,2.0,1,2.0,W
184,2008/2009,1.0,8.0,1.0,15.0,-146.0,-130.0,-10.0,-15.0,11.0,2,-1.0,W
185,2008/2009,0.0,0.0,-7.0,-33.0,-8.0,-27.0,0.0,0.0,0.0,0,1.0,D
186,2008/2009,0.0,0.0,-1.0,-21.0,-120.0,-127.0,0.0,0.0,0.0,-1,0.0,L
187,2008/2009,10.0,-7.0,2.0,9.0,83.0,80.0,20.0,-4.0,6.0,0,-1.0,D
188,2008/2009,6.0,-12.0,2.0,2.0,103.0,135.0,24.0,-12.0,12.0,-3,0.0,L
189,2008/2009,7.0,23.0,9.0,23.0,51.0,50.0,11.0,0.0,8.0,2,-1.0,W
190,2008/2009,10.0,6.0,3.0,24.0,-41.0,-28.0,0.0,2.0,0.0,1,-1.0,W
191,2008/2009,7.0,22.0,-7.0,-22.0,-51.0,-59.0,-16.0,29.0,13.0,1,0.0,W
192,2008/2009,-7.0,-12.0,-3.0,-7.0,-22.0,-54.0,17.0,1.0,-12.0,-1,-1.0,L
193,2008/2009,-8.0,10.0,9.0,21.0,37.0,61.0,-2.0,0.0,2.0,1,0.0,W
194,2008/2009,0.0,0.0,1.0,0.0,12.0,20.0,0.0,0.0,0.0,-1,0.0,L
195,2008/2009,3.0,15.0,-6.0,-14.0,-143.0,-127.0,-4.0,4.0,-6.0,-1,0.0,L
196,2008/2009,10.0,3.0,-3.0,-11.0,96.0,128.0,-2.0,-6.0,3.0,1,0.0,W
197,2008/2009,0.0,0.0,5.0,33.0,320.0,345.0,0.0,0.0,0.0,3,0.0,W
198,2008/2009,-2.0,-13.0,0.0,12.0,0.0,0.0,2.0,1.0,9.0,2,0.0,W
199,2008/2009,10.0,4.0,0.0,2.0,0.0,0.0,17.0,7.0,5.0,4,0.0,W
200,2008/2009,-4.0,-14.0,-1.0,-5.0,0.0,0.0,-6.0,-9.0,5.0,1,-1.0,W
201,2008/2009,-2.0,-12.0,-1.0,-1.0,0.0,0.0,-4.0,13.0,2.0,1,1.0,W
202,2008/2009,-10.0,-16.0,0.0,5.0,0.0,0.0,-14.0,10.0,6.0,2,0.0,W
203,2008/2009,0.0,0.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,L
204,2008/2009,-2.0,-11.0,0.0,-2.0,0.0,0.0,18.0,-2.0,-7.0,-2,-7.0,L
205,2008/2009,11.0,-2.0,-2.0,-6.0,0.0,0.0,-20.0,20.0,16.0,0,0.0,D
206,2008/2009,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-3,6.0,L
207,2008/2009,5.0,11.0,1.0,-2.0,0.0,0.0,-17.0,3.0,-1.0,1,0.0,W
208,2008/2009,0.0,-1.0,-7.0,-31.0,67.0,27.0,-15.0,-5.0,-5.0,-1,0.0,L
209,2008/2009,-4.0,-12.0,-9.0,-29.0,-229.0,-255.0,-10.0,0.0,-9.0,-3,0.0,L
210,2008/2009,-13.0,-10.0,13.0,30.0,165.0,162.0,1.0,5.0,5.0,1,-1.0,W
211,2008/2009,0.0,0.0,-4.0,-38.0,-48.0,-57.0,0.0,0.0,0.0,2,0.0,W
212,2008/2009,-1.0,-3.0,-1.0,2.0,-103.0,-155.0,8.0,-17.0,4.0,-1,0.0,L
213,2008/2009,8.0,1.0,0.0,-19.0,100.0,105.0,22.0,-13.0,3.0,0,2.0,D
214,2008/2009,0.0,0.0,-1.0,5.0,-225.0,-244.0,0.0,0.0,0.0,2,-1.0,W
215,2008/2009,12.0,4.0,6.0,26.0,121.0,144.0,2.0,-2.0,13.0,4,0.0,W
216,2008/2009,15.0,13.0,1.0,6.0,36.0,6.0,13.0,0.0,6.0,1,0.0,W
217,2008/2009,5.0,-6.0,-8.0,-10.0,-73.0,-84.0,2.0,-6.0,-4.0,2,0.0,W
218,2008/2009,-5.0,5.0,-2.0,-7.0,-24.0,0.0,-14.0,23.0,-10.0,-1,-1.0,L
219,2008/2009,6.0,2.0,-5.0,-24.0,-6.0,-24.0,16.0,-5.0,-10.0,1,0.0,W
220,2008/2009,15.0,23.0,-6.0,-41.0,17.0,11.0,6.0,16.0,16.0,-2,-2.0,L
221,2008/2009,0.0,0.0,13.0,48.0,203.0,269.0,0.0,0.0,0.0,4,0.0,W
222,2008/2009,2.0,22.0,11.0,39.0,53.0,72.0,10.0,3.0,3.0,3,0.0,W
223,2008/2009,12.0,2.0,0.0,10.0,267.0,268.0,12.0,0.0,7.0,3,0.0,W
224,2008/2009,0.0,0.0,1.0,24.0,193.0,196.0,0.0,0.0,0.0,0,0.0,D
225,2008/2009,3.0,5.0,-10.0,-25.0,-104.0,-81.0,14.0,-2.0,0.0,-2,1.0,L
226,2008/2009,0.0,0.0,-16.0,-84.0,-112.0,-154.0,0.0,0.0,0.0,0,0.0,D
227,2008/2009,0.0,-11.0,-8.0,-23.0,-50.0,-24.0,-28.0,-1.0,4.0,0,0.0,D
228,2008/2009,0.0,0.0,5.0,8.0,184.0,166.0,0.0,0.0,0.0,0,0.0,D
229,2008/2009,-8.0,-13.0,0.0,0.0,101.0,70.0,2.0,3.0,3.0,1,0.0,W
230,2008/2009,-3.0,-6.0,3.0,29.0,16.0,-20.0,-8.0,-10.0,7.0,1,0.0,W
231,2008/2009,-20.0,-7.0,5.0,-3.0,70.0,90.0,-15.0,6.0,-2.0,-1,1.0,L
232,2008/2009,-13.0,-10.0,6.0,28.0,70.0,58.0,-8.0,-17.0,-25.0,1,1.0,W
233,2008/2009,16.0,-9.0,8.0,22.0,92.0,117.0,26.0,-10.0,12.0,-1,-1.0,L
234,2008/2009,3.0,11.0,1.0,-7.0,-166.0,-188.0,1.0,0.0,-1.0,2,-1.0,W
235,2008/2009,12.0,17.0,5.0,29.0,-26.0,-9.0,13.0,-6.0,4.0,2,-1.0,W
236,2008/2009,2.0,15.0,-5.0,-11.0,-129.0,-118.0,-8.0,3.0,-9.0,3,1.0,W
237,2008/2009,-4.0,-1.0,-2.0,-16.0,-195.0,-261.0,18.0,1.0,-13.0,-2,0.0,L
238,2008/2009,-8.0,10.0,-8.0,-42.0,-66.0,-84.0,-4.0,-3.0,-9.0,-2,-1.0,L
239,2008/2009,0.0,0.0,5.0,28.0,1.0,6.0,0.0,0.0,0.0,-2,1.0,L
240,2008/2009,-5.0,-1.0,-1.0,8.0,-42.0,-18.0,-1.0,3.0,-5.0,2,0.0,W
241,2008/2009,-13.0,-9.0,14.0,64.0,-65.0,-39.0,7.0,-12.0,-20.0,2,-1.0,W
242,2008/2009,0.0,0.0,-3.0,20.0,-69.0,-60.0,0.0,0.0,0.0,0,1.0,D
243,2008/2009,1.0,-7.0,-3.0,-14.0,-69.0,-42.0,10.0,11.0,2.0,1,0.0,W
244,2008/2009,6.0,-13.0,-8.0,-44.0,100.0,88.0,9.0,-17.0,7.0,-2,0.0,L
245,2008/2009,-4.0,-25.0,-6.0,-13.0,33.0,31.0,-26.0,4.0,0.0,-1,0.0,L
246,2008/2009,-1.0,-4.0,12.0,39.0,122.0,159.0,-14.0,-2.0,13.0,3,0.0,W
247,2008/2009,0.0,0.0,-2.0,-7.0,85.0,63.0,0.0,0.0,0.0,-1,0.0,L
